Serial Number:,65656646,,,,,,,,,,,
,,,,,,,,,,,,
Date,V1 [USgal],"Jerry Added
Column
Usage",Flow V1 max. [USgal/min],Flow V1 min. [USgal/min],Hour counter,Info,Avg. meter temperature [F],Min. meter temperature [F],Max. meter temperature [F],Avg. water temperature [F],Min. water temperature [F],Max. water temperature [F]
3/26/18 0:00,7080,102,5.19,0,1932,000,48,47,51,48,41,50
3/25/18 0:00,6978,38,1.71,0,1908,000,48,45,50,47,41,49
3/24/18 0:00,6940,125,4.8,0,1884,000,48,45,50,47,40,48
3/23/18 0:00,6815,47,4.86,0,1860,000,47,45,50,47,40,49
3/22/18 0:00,6768,43,5.06,0,1836,000,45,43,48,46,37,47
3/21/18 0:00,6725,116,4.95,0,1812,000,44,42,47,47,36,48
3/20/18 0:00,6609,5,0.73,0,1788,000,42,42,44,41,36,48
3/19/18 0:00,6604,2,0.01,0,1764,000,42,42,44,38,36,38
3/18/18 0:00,6602,31,2.59,0,1740,000,43,42,47,45,37,48
3/17/18 0:00,6571,6,0.85,0,1716,000,43,42,47,43,36,48
3/16/18 0:00,6565,3,0.02,0,1692,000,43,43,45,37,37,39
3/15/18 0:00,6562,31,2.54,0,1668,000,43,42,46,45,36,48
3/14/18 0:00,6531,66,5.14,0,1644,000,43,41,45,44,36,45
3/13/18 0:00,6465,179,5.2,0,1620,000,43,41,47,45,36,50
3/12/18 0:00,6286,190,5.08,0,1596,000,43,41,47,45,35,49
3/11/18 0:00,6096,148,3.09,0,1572,000,43,41,47,45,35,48
3/10/18 0:00,5948,151,5.02,0,1548,000,42,41,45,44,35,47
3/9/18 0:00,5797,111,5.58,0,1524,000,42,40,44,43,34,44
3/8/18 0:00,5686,158,5.18,0,1500,000,41,38,45,45,32,48
3/7/18 0:00,5528,201,4.93,0,1476,000,41,39,45,44,33,48
3/6/18 0:00,5327,103,4.84,0,1452,000,40,38,44,42,32,45
3/5/18 0:00,5224,7,0.96,0,1428,000,39,39,41,39,33,42
3/4/18 0:00,5217,32,2.57,0,1404,000,40,39,42,41,32,42
3/3/18 0:00,5185,2,0.02,0,1380,000,39,38,41,33,32,35
3/2/18 0:00,5183,4,0.66,0,1356,000,39,38,41,37,32,41
3/1/18 0:00,5179,5179,4.86,0,1332,000,39,38,42,40,32,42